batch,rarity,planned_cards,status
1,common,10,complete
2,common,10,complete
3,common,10,complete
4,common,10,complete
5,common,10,complete
6,rare,10,complete
7,rare,10,complete
8,rare,10,complete
9,rare,10,complete
10,rare,10,complete
11,rare,10,complete
12,rare,10,complete
13,rare,10,complete
14,rare,10,complete
15,rare,9,complete
16,epic,10,pending
17,epic,10,pending
18,epic,10,pending
19,epic,10,pending
20,epic,10,pending
21,epic,10,pending
22,epic,10,pending
23,epic,10,pending
24,epic,10,pending
25,epic,9,pending
26,legendary,10,pending
27,legendary,10,pending
28,legendary,10,pending
29,legendary,10,pending
30,legendary,10,pending
31,legendary,10,pending
32,legendary,10,pending
33,legendary,10,pending
34,legendary,10,pending
35,legendary,9,pending
36,unique,10,pending
37,unique,10,pending
38,unique,10,pending
39,unique,10,pending
40,unique,10,pending
41,unique,10,pending
42,unique,10,pending
43,unique,10,pending
44,unique,9,pending
